Clinic,Date,Ailment,Attendance,MedicationUsed,MedicationStock,StockAdequacy
Riruta Health Centre,2024-01-03,Diarrhea,284,101,279,Adequate
Riruta Health Centre,2024-01-03,Skin Infection,211,12,342,Adequate
Riruta Health Centre,2024-01-03,Pneumonia,125,98,625,Adequate
Riruta Health Centre,2024-01-04,Malaria,149,12,507,Adequate
Riruta Health Centre,2024-01-04,Flu,298,72,683,Adequate
Riruta Health Centre,2024-01-04,Typhoid,208,51,258,Adequate
Riruta Health Centre,2024-01-04,Respiratory Infection,183,47,181,Adequate
Riruta Health Centre,2024-01-04,Diarrhea,86,16,211,Adequate
Riruta Health Centre,2024-01-04,Skin Infection,77,89,475,Adequate
Riruta Health Centre,2024-01-04,Pneumonia,345,62,603,Adequate
Riruta Health Centre,2024-01-05,Malaria,144,12,585,Adequate
Riruta Health Centre,2024-01-05,Flu,33,129,141,Adequate
Riruta Health Centre,2024-01-05,Typhoid,38,113,756,Adequate
Riruta Health Centre,2024-01-05,Respiratory Infection,126,49,241,Adequate
Riruta Health Centre,2024-01-05,Diarrhea,307,61,126,Adequate
Riruta Health Centre,2024-01-05,Skin Infection,72,12,315,Adequate
Riruta Health Centre,2024-01-05,Pneumonia,123,37,697,Adequate
Riruta Health Centre,2024-01-06,Malaria,374,19,512,Adequate
Riruta Health Centre,2024-01-06,Flu,275,94,120,Adequate
Riruta Health Centre,2024-01-06,Typhoid,294,29,283,Adequate
Riruta Health Centre,2024-01-06,Respiratory Infection,256,65,647,Adequate
Riruta Health Centre,2024-01-06,Diarrhea,275,82,249,Adequate
Riruta Health Centre,2024-01-06,Skin Infection,30,78,329,Adequate
Riruta Health Centre,2024-01-06,Pneumonia,240,101,707,Adequate
Riruta Health Centre,2024-01-07,Malaria,113,109,398,Adequate
Riruta Health Centre,2024-01-07,Flu,265,66,322,Adequate
Riruta Health Centre,2024-01-07,Typhoid,310,102,315,Adequate
Riruta Health Centre,2024-01-07,Respiratory Infection,260,50,268,Adequate
Riruta Health Centre,2024-01-07,Diarrhea,358,51,653,Adequate
Riruta Health Centre,2024-01-07,Skin Infection,287,77,707,Adequate
Riruta Health Centre,2024-01-07,Pneumonia,346,43,724,Adequate
Riruta Health Centre,2024-01-08,Malaria,106,30,565,Adequate
Riruta Health Centre,2024-01-08,Flu,349,133,259,Adequate
Riruta Health Centre,2024-01-08,Typhoid,342,62,260,Adequate
Riruta Health Centre,2024-01-08,Respiratory Infection,337,124,245,Adequate
Riruta Health Centre,2024-01-08,Diarrhea,192,21,790,Adequate
Riruta Health Centre,2024-01-08,Skin Infection,118,118,407,Adequate
Riruta Health Centre,2024-01-08,Pneumonia,63,144,550,Adequate
Riruta Health Centre,2024-01-09,Malaria,196,17,736,Adequate
Riruta Health Centre,2024-01-09,Flu,253,136,249,Adequate
Riruta Health Centre,2024-01-09,Typhoid,218,52,128,Adequate
Riruta Health Centre,2024-01-09,Respiratory Infection,391,149,130,Low
Riruta Health Centre,2024-01-09,Diarrhea,210,43,227,Adequate
Riruta Health Centre,2024-01-09,Skin Infection,284,47,540,Adequate
Riruta Health Centre,2024-01-09,Pneumonia,386,33,741,Adequate
Riruta Health Centre,2024-01-10,Malaria,41,44,209,Adequate
Riruta Health Centre,2024-01-10,Flu,357,50,344,Adequate
Riruta Health Centre,2024-01-10,Typhoid,279,119,262,Adequate
Riruta Health Centre,2024-01-10,Respiratory Infection,77,44,682,Adequate
Riruta Health Centre,2024-01-10,Diarrhea,163,90,679,Adequate
Riruta Health Centre,2024-01-10,Skin Infection,307,41,222,Adequate
Riruta Health Centre,2024-01-10,Pneumonia,51,56,209,Adequate
Riruta Health Centre,2024-01-11,Malaria,300,53,726,Adequate
Riruta Health Centre,2024-01-11,Flu,249,135,348,Adequate
Riruta Health Centre,2024-01-11,Typhoid,38,43,327,Adequate
Riruta Health Centre,2024-01-11,Respiratory Infection,102,44,683,Adequate
Riruta Health Centre,2024-01-11,Diarrhea,87,101,470,Adequate
Riruta Health Centre,2024-01-11,Skin Infection,304,25,174,Adequate
Riruta Health Centre,2024-01-11,Pneumonia,135,37,173,Adequate
Riruta Health Centre,2024-01-12,Malaria,283,27,142,Adequate
Riruta Health Centre,2024-01-12,Flu,79,32,670,Adequate
Riruta Health Centre,2024-01-12,Typhoid,313,55,675,Adequate
Riruta Health Centre,2024-01-12,Respiratory Infection,99,76,241,Adequate
Riruta Health Centre,2024-01-12,Diarrhea,231,88,514,Adequate
Riruta Health Centre,2024-01-12,Skin Infection,250,115,180,Adequate
Riruta Health Centre,2024-01-12,Pneumonia,280,80,384,Adequate
Riruta Health Centre,2024-01-13,Malaria,398,117,445,Adequate
Riruta Health Centre,2024-01-13,Flu,233,54,652,Adequate
Riruta Health Centre,2024-01-13,Typhoid,98,13,591,Adequate
Riruta Health Centre,2024-01-13,Respiratory Infection,269,134,540,Adequate
Riruta Health Centre,2024-01-13,Diarrhea,60,12,728,Adequate
Riruta Health Centre,2024-01-13,Skin Infection,224,99,789,Adequate
Riruta Health Centre,2024-01-13,Pneumonia,174,89,421,Adequate
Riruta Health Centre,2024-01-14,Malaria,373,84,635,Adequate
Riruta Health Centre,2024-01-14,Flu,384,116,204,Adequate
Riruta Health Centre,2024-01-14,Typhoid,304,75,671,Adequate
Riruta Health Centre,2024-01-14,Respiratory Infection,44,149,184,Adequate
Riruta Health Centre,2024-01-14,Diarrhea,226,116,362,Adequate
Riruta Health Centre,2024-01-14,Skin Infection,35,119,388,Adequate
Riruta Health Centre,2024-01-14,Pneumonia,87,78,756,Adequate
Riruta Health Centre,2024-01-15,Malaria,395,51,449,Adequate
Riruta Health Centre,2024-01-15,Flu,229,69,785,Adequate
Riruta Health Centre,2024-01-15,Typhoid,364,104,316,Adequate
Riruta Health Centre,2024-01-15,Respiratory Infection,140,126,791,Adequate
Riruta Health Centre,2024-01-15,Diarrhea,192,78,327,Adequate
Riruta Health Centre,2024-01-15,Skin Infection,174,62,407,Adequate
Riruta Health Centre,2024-01-15,Pneumonia,171,58,491,Adequate
Riruta Health Centre,2024-01-16,Malaria,255,113,264,Adequate
Riruta Health Centre,2024-01-16,Flu,250,98,323,Adequate
Riruta Health Centre,2024-01-16,Typhoid,153,61,443,Adequate
Riruta Health Centre,2024-01-16,Respiratory Infection,368,41,151,Adequate
Riruta Health Centre,2024-01-16,Diarrhea,158,16,756,Adequate
Riruta Health Centre,2024-01-16,Skin Infection,156,107,170,Adequate
Riruta Health Centre,2024-01-16,Pneumonia,302,88,102,Adequate
Riruta Health Centre,2024-01-17,Malaria,314,31,265,Adequate
Riruta Health Centre,2024-01-17,Flu,339,136,576,Adequate
Riruta Health Centre,2024-01-17,Typhoid,275,115,769,Adequate
Riruta Health Centre,2024-01-17,Respiratory Infection,180,148,475,Adequate
Riruta Health Centre,2024-01-17,Diarrhea,247,56,504,Adequate
Riruta Health Centre,2024-01-17,Skin Infection,305,32,120,Adequate
Riruta Health Centre,2024-01-17,Pneumonia,286,44,628,Adequate
Riruta Health Centre,2024-01-18,Malaria,80,72,369,Adequate
Riruta Health Centre,2024-01-18,Flu,344,112,735,Adequate
Riruta Health Centre,2024-01-18,Typhoid,319,15,464,Adequate
Riruta Health Centre,2024-01-18,Respiratory Infection,78,35,728,Adequate
Riruta Health Centre,2024-01-18,Diarrhea,147,78,740,Adequate
Riruta Health Centre,2024-01-18,Skin Infection,200,36,471,Adequate
Riruta Health Centre,2024-01-18,Pneumonia,343,118,196,Adequate
Riruta Health Centre,2024-01-19,Malaria,46,54,712,Adequate
Riruta Health Centre,2024-01-19,Flu,215,85,314,Adequate
Riruta Health Centre,2024-01-19,Typhoid,280,97,128,Adequate
Riruta Health Centre,2024-01-19,Respiratory Infection,131,83,382,Adequate
Riruta Health Centre,2024-01-19,Diarrhea,131,113,656,Adequate
Riruta Health Centre,2024-01-19,Skin Infection,143,96,642,Adequate
Riruta Health Centre,2024-01-19,Pneumonia,193,110,392,Adequate
Riruta Health Centre,2024-01-20,Malaria,224,45,360,Adequate
Riruta Health Centre,2024-01-20,Flu,236,81,148,Adequate
Riruta Health Centre,2024-01-20,Typhoid,35,19,323,Adequate
Riruta Health Centre,2024-01-20,Respiratory Infection,52,141,756,Adequate
Riruta Health Centre,2024-01-20,Diarrhea,139,93,652,Adequate
Riruta Health Centre,2024-01-20,Skin Infection,201,119,797,Adequate
Riruta Health Centre,2024-01-20,Pneumonia,243,79,663,Adequate
Riruta Health Centre,2024-01-21,Malaria,99,77,250,Adequate
Riruta Health Centre,2024-01-21,Flu,138,112,729,Adequate
Riruta Health Centre,2024-01-21,Typhoid,394,104,655,Adequate
Riruta Health Centre,2024-01-21,Respiratory Infection,96,57,305,Adequate
Riruta Health Centre,2024-01-21,Diarrhea,303,36,790,Adequate
Riruta Health Centre,2024-01-21,Skin Infection,89,83,148,Adequate
Riruta Health Centre,2024-01-21,Pneumonia,300,112,684,Adequate
Riruta Health Centre,2024-01-22,Malaria,225,24,278,Adequate
Riruta Health Centre,2024-01-22,Flu,77,101,212,Adequate
Riruta Health Centre,2024-01-22,Typhoid,274,10,258,Adequate
Riruta Health Centre,2024-01-22,Respiratory Infection,303,41,129,Adequate
Riruta Health Centre,2024-01-22,Diarrhea,126,16,191,Adequate
Riruta Health Centre,2024-01-22,Skin Infection,142,12,206,Adequate
Riruta Health Centre,2024-01-22,Pneumonia,92,35,457,Adequate
Riruta Health Centre,2024-01-23,Malaria,300,80,526,Adequate
Riruta Health Centre,2024-01-23,Flu,376,110,602,Adequate
Riruta Health Centre,2024-01-23,Typhoid,175,31,672,Adequate
Riruta Health Centre,2024-01-23,Respiratory Infection,149,90,408,Adequate
Riruta Health Centre,2024-01-23,Diarrhea,55,100,651,Adequate
Riruta Health Centre,2024-01-23,Skin Infection,373,17,376,Adequate
Riruta Health Centre,2024-01-23,Pneumonia,328,50,130,Adequate
Riruta Health Centre,2024-01-24,Malaria,276,36,126,Adequate
Riruta Health Centre,2024-01-24,Flu,102,86,196,Adequate
Riruta Health Centre,2024-01-24,Typhoid,190,99,575,Adequate
Riruta Health Centre,2024-01-24,Respiratory Infection,329,72,386,Adequate
Riruta Health Centre,2024-01-24,Diarrhea,241,85,500,Adequate
Riruta Health Centre,2024-01-24,Skin Infection,172,43,597,Adequate
Riruta Health Centre,2024-01-24,Pneumonia,365,33,427,Adequate
Riruta Health Centre,2024-01-25,Malaria,127,119,562,Adequate
Riruta Health Centre,2024-01-25,Flu,57,102,485,Adequate
Riruta Health Centre,2024-01-25,Typhoid,302,67,226,Adequate
Riruta Health Centre,2024-01-25,Respiratory Infection,231,38,386,Adequate
Riruta Health Centre,2024-01-25,Diarrhea,117,71,118,Adequate
Riruta Health Centre,2024-01-25,Skin Infection,110,116,557,Adequate
Riruta Health Centre,2024-01-25,Pneumonia,340,57,723,Adequate
Riruta Health Centre,2024-01-26,Malaria,249,59,676,Adequate
Riruta Health Centre,2024-01-26,Flu,32,108,493,Adequate
Riruta Health Centre,2024-01-26,Typhoid,50,46,626,Adequate
Riruta Health Centre,2024-01-26,Respiratory Infection,372,107,301,Adequate
Riruta Health Centre,2024-01-26,Diarrhea,149,18,488,Adequate
Riruta Health Centre,2024-01-26,Skin Infection,54,65,333,Adequate
Riruta Health Centre,2024-01-26,Pneumonia,150,119,419,Adequate
Riruta Health Centre,2024-01-27,Malaria,229,95,279,Adequate
Riruta Health Centre,2024-01-27,Flu,374,141,175,Adequate
Riruta Health Centre,2024-01-27,Typhoid,166,19,595,Adequate
Riruta Health Centre,2024-01-27,Respiratory Infection,39,102,445,Adequate
Riruta Health Centre,2024-01-27,Diarrhea,248,69,758,Adequate
Riruta Health Centre,2024-01-27,Skin Infection,136,47,745,Adequate
Riruta Health Centre,2024-01-27,Pneumonia,250,76,601,Adequate
Riruta Health Centre,2024-01-28,Malaria,162,87,152,Adequate
Riruta Health Centre,2024-01-28,Flu,91,52,143,Adequate
Riruta Health Centre,2024-01-28,Typhoid,337,55,758,Adequate
Riruta Health Centre,2024-01-28,Respiratory Infection,245,113,146,Adequate
Riruta Health Centre,2024-01-28,Diarrhea,376,61,123,Adequate
Riruta Health Centre,2024-01-28,Skin Infection,174,98,273,Adequate
Riruta Health Centre,2024-01-28,Pneumonia,93,148,767,Adequate
Riruta Health Centre,2024-01-29,Malaria,207,73,441,Adequate
Riruta Health Centre,2024-01-29,Flu,85,88,537,Adequate
Riruta Health Centre,2024-01-29,Typhoid,249,66,658,Adequate
Riruta Health Centre,2024-01-29,Respiratory Infection,131,73,114,Adequate
Riruta Health Centre,2024-01-29,Diarrhea,265,114,150,Adequate
Riruta Health Centre,2024-01-29,Skin Infection,338,43,735,Adequate
Riruta Health Centre,2024-01-29,Pneumonia,106,37,734,Adequate
Riruta Health Centre,2024-01-30,Malaria,234,109,169,Adequate
Riruta Health Centre,2024-01-30,Flu,259,125,632,Adequate
Riruta Health Centre,2024-01-30,Typhoid,137,117,340,Adequate
Riruta Health Centre,2024-01-30,Respiratory Infection,280,36,189,Adequate
Riruta Health Centre,2024-01-30,Diarrhea,108,65,788,Adequate
Riruta Health Centre,2024-01-30,Skin Infection,327,32,407,Adequate
Riruta Health Centre,2024-01-30,Pneumonia,131,134,723,Adequate
Riruta Health Centre,2024-01-31,Malaria,210,113,627,Adequate
Riruta Health Centre,2024-01-31,Flu,125,66,245,Adequate
Riruta Health Centre,2024-01-31,Typhoid,331,11,218,Adequate
Riruta Health Centre,2024-01-31,Respiratory Infection,372,123,290,Adequate
Riruta Health Centre,2024-01-31,Diarrhea,32,55,586,Adequate
Riruta Health Centre,2024-01-31,Skin Infection,140,58,356,Adequate
Riruta Health Centre,2024-01-31,Pneumonia,390,51,576,Adequate
Riruta Health Centre,2024-02-01,Malaria,249,94,272,Adequate
Riruta Health Centre,2024-02-01,Flu,253,35,601,Adequate
Riruta Health Centre,2024-02-01,Typhoid,94,30,359,Adequate
Riruta Health Centre,2024-02-01,Respiratory Infection,160,142,119,Low
Riruta Health Centre,2024-02-01,Diarrhea,244,63,350,Adequate
Riruta Health Centre,2024-02-01,Skin Infection,300,47,506,Adequate
Riruta Health Centre,2024-02-01,Pneumonia,209,95,540,Adequate
Riruta Health Centre,2024-02-02,Malaria,342,88,279,Adequate
Riruta Health Centre,2024-02-02,Flu,192,103,113,Adequate
Riruta Health Centre,2024-02-02,Typhoid,376,23,198,Adequate
Riruta Health Centre,2024-02-02,Respiratory Infection,62,81,356,Adequate
Riruta Health Centre,2024-02-02,Diarrhea,63,28,763,Adequate
Riruta Health Centre,2024-02-02,Skin Infection,289,45,688,Adequate
Riruta Health Centre,2024-02-02,Pneumonia,343,61,236,Adequate
Riruta Health Centre,2024-02-03,Malaria,388,89,678,Adequate
Riruta Health Centre,2024-02-03,Flu,145,49,301,Adequate
Riruta Health Centre,2024-02-03,Typhoid,279,71,377,Adequate
Riruta Health Centre,2024-02-03,Respiratory Infection,141,96,572,Adequate
Riruta Health Centre,2024-02-03,Diarrhea,263,57,491,Adequate
Riruta Health Centre,2024-02-03,Skin Infection,172,41,280,Adequate
Riruta Health Centre,2024-02-03,Pneumonia,96,33,368,Adequate
Riruta Health Centre,2024-02-04,Malaria,265,30,652,Adequate
Riruta Health Centre,2024-02-04,Flu,150,139,374,Adequate
Riruta Health Centre,2024-02-04,Typhoid,260,57,185,Adequate
Riruta Health Centre,2024-02-04,Respiratory Infection,92,49,291,Adequate
Riruta Health Centre,2024-02-04,Diarrhea,322,40,429,Adequate
Riruta Health Centre,2024-02-04,Skin Infection,175,116,721,Adequate
Riruta Health Centre,2024-02-04,Pneumonia,305,111,750,Adequate
Riruta Health Centre,2024-02-05,Malaria,115,53,181,Adequate
Riruta Health Centre,2024-02-05,Flu,93,63,666,Adequate
Riruta Health Centre,2024-02-05,Typhoid,103,10,355,Adequate
Riruta Health Centre,2024-02-05,Respiratory Infection,260,142,236,Adequate
Riruta Health Centre,2024-02-05,Diarrhea,380,80,454,Adequate
Riruta Health Centre,2024-02-05,Skin Infection,141,110,245,Adequate
Riruta Health Centre,2024-02-05,Pneumonia,62,33,186,Adequate
Riruta Health Centre,2024-02-06,Malaria,360,61,364,Adequate
Riruta Health Centre,2024-02-06,Flu,349,59,491,Adequate
Riruta Health Centre,2024-02-06,Typhoid,261,14,687,Adequate
Riruta Health Centre,2024-02-06,Respiratory Infection,158,44,188,Adequate
Riruta Health Centre,2024-02-06,Diarrhea,199,55,125,Adequate
Riruta Health Centre,2024-02-06,Skin Infection,90,113,678,Adequate
Riruta Health Centre,2024-02-06,Pneumonia,55,112,463,Adequate
Riruta Health Centre,2024-02-07,Malaria,396,69,650,Adequate
Riruta Health Centre,2024-02-07,Flu,152,65,290,Adequate
Riruta Health Centre,2024-02-07,Typhoid,321,33,332,Adequate
Riruta Health Centre,2024-02-07,Respiratory Infection,175,44,233,Adequate
Riruta Health Centre,2024-02-07,Diarrhea,200,40,127,Adequate
Riruta Health Centre,2024-02-07,Skin Infection,165,38,504,Adequate
Riruta Health Centre,2024-02-07,Pneumonia,270,117,543,Adequate
Riruta Health Centre,2024-02-08,Malaria,257,40,402,Adequate
Riruta Health Centre,2024-02-08,Flu,63,31,461,Adequate
Riruta Health Centre,2024-02-08,Typhoid,224,103,407,Adequate
Riruta Health Centre,2024-02-08,Respiratory Infection,164,105,349,Adequate
Riruta Health Centre,2024-02-08,Diarrhea,176,99,447,Adequate
Riruta Health Centre,2024-02-08,Skin Infection,283,24,433,Adequate
Riruta Health Centre,2024-02-08,Pneumonia,205,43,230,Adequate
Riruta Health Centre,2024-02-09,Malaria,79,102,506,Adequate
Riruta Health Centre,2024-02-09,Flu,249,107,433,Adequate
Riruta Health Centre,2024-02-09,Typhoid,49,86,702,Adequate
Riruta Health Centre,2024-02-09,Respiratory Infection,384,74,288,Adequate
Riruta Health Centre,2024-02-09,Diarrhea,341,11,267,Adequate
Riruta Health Centre,2024-02-09,Skin Infection,397,33,679,Adequate
Riruta Health Centre,2024-02-09,Pneumonia,399,95,695,Adequate
Riruta Health Centre,2024-02-10,Malaria,236,58,643,Adequate
Riruta Health Centre,2024-02-10,Flu,346,71,228,Adequate
Riruta Health Centre,2024-02-10,Typhoid,131,44,298,Adequate
Riruta Health Centre,2024-02-10,Respiratory Infection,330,106,468,Adequate
Riruta Health Centre,2024-02-10,Diarrhea,350,23,448,Adequate
Riruta Health Centre,2024-02-10,Skin Infection,160,119,379,Adequate
Riruta Health Centre,2024-02-10,Pneumonia,94,77,237,Adequate
Riruta Health Centre,2024-02-11,Malaria,298,109,300,Adequate
Riruta Health Centre,2024-02-11,Flu,171,129,749,Adequate
Riruta Health Centre,2024-02-11,Typhoid,197,32,710,Adequate
Riruta Health Centre,2024-02-11,Respiratory Infection,340,92,454,Adequate
Riruta Health Centre,2024-02-11,Diarrhea,95,88,428,Adequate
Riruta Health Centre,2024-02-11,Skin Infection,76,90,330,Adequate
Riruta Health Centre,2024-02-11,Pneumonia,337,47,245,Adequate
Riruta Health Centre,2024-02-12,Malaria,181,32,239,Adequate
Riruta Health Centre,2024-02-12,Flu,180,50,353,Adequate
Riruta Health Centre,2024-02-12,Typhoid,93,99,171,Adequate
Riruta Health Centre,2024-02-12,Respiratory Infection,191,31,680,Adequate
Riruta Health Centre,2024-02-12,Diarrhea,254,77,553,Adequate
Riruta Health Centre,2024-02-12,Skin Infection,136,118,202,Adequate
Riruta Health Centre,2024-02-12,Pneumonia,170,94,233,Adequate
Riruta Health Centre,2024-02-13,Malaria,228,36,178,Adequate
Riruta Health Centre,2024-02-13,Flu,279,116,699,Adequate
Riruta Health Centre,2024-02-13,Typhoid,353,53,116,Adequate
Riruta Health Centre,2024-02-13,Respiratory Infection,252,67,493,Adequate
Riruta Health Centre,2024-02-13,Diarrhea,339,100,333,Adequate
Riruta Health Centre,2024-02-13,Skin Infection,277,15,151,Adequate
Riruta Health Centre,2024-02-13,Pneumonia,44,97,540,Adequate
Riruta Health Centre,2024-02-14,Malaria,141,65,106,Adequate
Riruta Health Centre,2024-02-14,Flu,80,87,344,Adequate
Riruta Health Centre,2024-02-14,Typhoid,394,35,797,Adequate
Riruta Health Centre,2024-02-14,Respiratory Infection,316,95,703,Adequate
Riruta Health Centre,2024-02-14,Diarrhea,135,22,245,Adequate
Riruta Health Centre,2024-02-14,Skin Infection,148,84,752,Adequate
Riruta Health Centre,2024-02-14,Pneumonia,144,53,156,Adequate
Riruta Health Centre,2024-02-15,Malaria,186,65,232,Adequate
Riruta Health Centre,2024-02-15,Flu,192,48,794,Adequate
Riruta Health Centre,2024-02-15,Typhoid,106,78,143,Adequate
Riruta Health Centre,2024-02-15,Respiratory Infection,235,67,417,Adequate
Riruta Health Centre,2024-02-15,Diarrhea,51,82,253,Adequate
Riruta Health Centre,2024-02-15,Skin Infection,266,14,320,Adequate
Riruta Health Centre,2024-02-15,Pneumonia,339,115,276,Adequate
Riruta Health Centre,2024-02-16,Malaria,288,101,137,Adequate
Riruta Health Centre,2024-02-16,Flu,171,76,302,Adequate
Riruta Health Centre,2024-02-16,Typhoid,358,47,547,Adequate
Riruta Health Centre,2024-02-16,Respiratory Infection,201,99,164,Adequate
Riruta Health Centre,2024-02-16,Diarrhea,310,25,343,Adequate
Riruta Health Centre,2024-02-16,Skin Infection,44,107,564,Adequate
Riruta Health Centre,2024-02-16,Pneumonia,160,96,392,Adequate
Riruta Health Centre,2024-02-17,Malaria,238,64,480,Adequate
Riruta Health Centre,2024-02-17,Flu,142,145,265,Adequate
Riruta Health Centre,2024-02-17,Typhoid,220,10,317,Adequate
Riruta Health Centre,2024-02-17,Respiratory Infection,388,48,151,Adequate
Riruta Health Centre,2024-02-17,Diarrhea,187,116,666,Adequate
Riruta Health Centre,2024-02-17,Skin Infection,43,22,439,Adequate
Riruta Health Centre,2024-02-17,Pneumonia,119,56,188,Adequate
Riruta Health Centre,2024-02-18,Malaria,70,57,367,Adequate
Riruta Health Centre,2024-02-18,Flu,167,35,341,Adequate
Riruta Health Centre,2024-02-18,Typhoid,191,61,617,Adequate
Riruta Health Centre,2024-02-18,Respiratory Infection,300,46,255,Adequate
Riruta Health Centre,2024-02-18,Diarrhea,114,81,109,Adequate
Riruta Health Centre,2024-02-18,Skin Infection,167,19,255,Adequate
Riruta Health Centre,2024-02-18,Pneumonia,304,126,679,Adequate
Riruta Health Centre,2024-02-19,Malaria,213,76,653,Adequate
Riruta Health Centre,2024-02-19,Flu,180,113,233,Adequate
Riruta Health Centre,2024-02-19,Typhoid,338,107,641,Adequate
Riruta Health Centre,2024-02-19,Respiratory Infection,38,120,269,Adequate
Riruta Health Centre,2024-02-19,Diarrhea,319,49,443,Adequate
Riruta Health Centre,2024-02-19,Skin Infection,174,38,687,Adequate
Riruta Health Centre,2024-02-19,Pneumonia,252,78,556,Adequate
Riruta Health Centre,2024-02-20,Malaria,218,92,401,Adequate
Riruta Health Centre,2024-02-20,Flu,75,46,677,Adequate
Riruta Health Centre,2024-02-20,Typhoid,389,14,222,Adequate
Riruta Health Centre,2024-02-20,Respiratory Infection,260,83,736,Adequate
Riruta Health Centre,2024-02-20,Diarrhea,141,25,692,Adequate
Riruta Health Centre,2024-02-20,Skin Infection,275,100,490,Adequate
Riruta Health Centre,2024-02-20,Pneumonia,357,116,466,Adequate
Riruta Health Centre,2024-02-21,Malaria,111,47,175,Adequate
Riruta Health Centre,2024-02-21,Flu,44,121,602,Adequate
Riruta Health Centre,2024-02-21,Typhoid,259,59,578,Adequate
Riruta Health Centre,2024-02-21,Respiratory Infection,294,37,209,Adequate
Riruta Health Centre,2024-02-21,Diarrhea,336,81,325,Adequate
Riruta Health Centre,2024-02-21,Skin Infection,214,77,130,Adequate
Riruta Health Centre,2024-02-21,Pneumonia,131,32,198,Adequate
Riruta Health Centre,2024-02-22,Malaria,368,52,365,Adequate
Riruta Health Centre,2024-02-22,Flu,169,75,449,Adequate
Riruta Health Centre,2024-02-22,Typhoid,245,41,556,Adequate
Riruta Health Centre,2024-02-22,Respiratory Infection,332,117,162,Adequate
Riruta Health Centre,2024-02-22,Diarrhea,308,84,685,Adequate
Riruta Health Centre,2024-02-22,Skin Infection,335,45,735,Adequate
Riruta Health Centre,2024-02-22,Pneumonia,298,58,732,Adequate
Riruta Health Centre,2024-02-23,Malaria,375,93,759,Adequate
Riruta Health Centre,2024-02-23,Flu,107,138,113,Low
Riruta Health Centre,2024-02-23,Typhoid,165,57,496,Adequate
Riruta Health Centre,2024-02-23,Respiratory Infection,309,108,517,Adequate
Riruta Health Centre,2024-02-23,Diarrhea,271,60,483,Adequate
Riruta Health Centre,2024-02-23,Skin Infection,247,87,588,Adequate
Riruta Health Centre,2024-02-23,Pneumonia,398,84,474,Adequate
Riruta Health Centre,2024-02-24,Malaria,149,89,141,Adequate
Riruta Health Centre,2024-02-24,Flu,50,39,252,Adequate
Riruta Health Centre,2024-02-24,Typhoid,341,47,697,Adequate
Riruta Health Centre,2024-02-24,Respiratory Infection,142,90,211,Adequate
Riruta Health Centre,2024-02-24,Diarrhea,204,63,401,Adequate
Riruta Health Centre,2024-02-24,Skin Infection,33,103,320,Adequate
Riruta Health Centre,2024-02-24,Pneumonia,200,91,312,Adequate
Riruta Health Centre,2024-02-25,Malaria,282,94,723,Adequate
Riruta Health Centre,2024-02-25,Flu,114,33,164,Adequate
Riruta Health Centre,2024-02-25,Typhoid,347,99,731,Adequate
Riruta Health Centre,2024-02-25,Respiratory Infection,272,31,236,Adequate
Riruta Health Centre,2024-02-25,Diarrhea,276,66,144,Adequate
Riruta Health Centre,2024-02-25,Skin Infection,175,57,653,Adequate
Riruta Health Centre,2024-02-25,Pneumonia,326,104,188,Adequate
Riruta Health Centre,2024-02-26,Malaria,247,67,327,Adequate
Riruta Health Centre,2024-02-26,Flu,327,64,521,Adequate
Riruta Health Centre,2024-02-26,Typhoid,96,50,198,Adequate
Riruta Health Centre,2024-02-26,Respiratory Infection,335,133,555,Adequate
Riruta Health Centre,2024-02-26,Diarrhea,108,54,298,Adequate
Riruta Health Centre,2024-02-26,Skin Infection,176,113,205,Adequate
Riruta Health Centre,2024-02-26,Pneumonia,222,138,576,Adequate
Riruta Health Centre,2024-02-27,Malaria,151,86,411,Adequate
Riruta Health Centre,2024-02-27,Flu,141,122,781,Adequate
Riruta Health Centre,2024-02-27,Typhoid,35,78,197,Adequate
Riruta Health Centre,2024-02-27,Respiratory Infection,358,131,267,Adequate
Riruta Health Centre,2024-02-27,Diarrhea,326,18,107,Adequate
Riruta Health Centre,2024-02-27,Skin Infection,201,67,459,Adequate
Riruta Health Centre,2024-02-27,Pneumonia,224,42,118,Adequate
Riruta Health Centre,2024-02-28,Malaria,383,105,148,Adequate
Riruta Health Centre,2024-02-28,Flu,385,111,257,Adequate
Riruta Health Centre,2024-02-28,Typhoid,95,86,670,Adequate
Riruta Health Centre,2024-02-28,Respiratory Infection,338,81,436,Adequate
Riruta Health Centre,2024-02-28,Diarrhea,188,24,220,Adequate
Riruta Health Centre,2024-02-28,Skin Infection,283,29,746,Adequate
Riruta Health Centre,2024-02-28,Pneumonia,303,85,195,Adequate
Riruta Health Centre,2024-02-29,Malaria,143,100,528,Adequate
Riruta Health Centre,2024-02-29,Flu,57,79,101,Adequate
Riruta Health Centre,2024-02-29,Typhoid,241,77,739,Adequate
Riruta Health Centre,2024-02-29,Respiratory Infection,362,53,467,Adequate
Riruta Health Centre,2024-02-29,Diarrhea,259,113,275,Adequate
Riruta Health Centre,2024-02-29,Skin Infection,250,67,647,Adequate
Riruta Health Centre,2024-02-29,Pneumonia,31,134,373,Adequate
Riruta Health Centre,2024-03-01,Malaria,206,17,285,Adequate
Riruta Health Centre,2024-03-01,Flu,44,134,378,Adequate
Riruta Health Centre,2024-03-01,Typhoid,223,79,448,Adequate
